city,streetAddress,zipcode,latitude,longitude,propertyTaxRate,garageSpaces,hasAssociation,hasCooling,hasGarage,hasHeating,hasSpa,hasView,homeType,parkingSpaces,yearBuilt,latestPrice,numPriceChanges,latest_saledate,latest_salemonth,latest_saleyear,numOfPhotos,numOfAccessibilityFeatures,numOfAppliances,numOfParkingFeatures,numOfPatioAndPorchFeatures,numOfSecurityFeatures,numOfWaterfrontFeatures,numOfWindowFeatures,numOfCommunityFeatures,lotSizeSqFt,livingAreaSqFt,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher,numOfBathrooms,numOfBedrooms,numOfStories,houseAge,pricePerSqFt
austin,2620 Bess Ln,78748,30.16754150390625,-97.8366928100586,1.98,0,True,True,False,True,False,False,Single Family,0,2003,299900.0,3,2019-08-12,8,2019,40,0,4,1,3,1,0,0,0,6664.0,1945.0,1,0,1,1,1.8,5.0,1450,15,3.0,3,2,22,154.19023136246787
austin,9720 Sugar Hill Dr,78748,30.18054962158203,-97.8364715576172,1.98,0,False,True,False,True,False,False,Single Family,0,1994,299900.0,9,2018-09-11,9,2018,44,0,3,1,0,0,0,0,0,7797.0,1777.0,1,0,1,1,1.9,5.0,1450,15,3.0,4,2,31,168.7675858187957
austin,3008 Foxton Cv,78748,30.17860221862793,-97.8411102294922,1.98,0,False,True,False,True,False,False,Single Family,0,1993,250000.0,7,2019-05-24,5,2019,20,0,6,1,0,0,0,0,0,8232.0,1594.0,1,0,1,1,1.9,5.0,1450,15,2.0,3,1,32,156.83814303638644
austin,3013 Foxton Cv,78748,30.17832946777344,-97.84176635742188,1.98,0,False,True,False,True,False,False,Single Family,0,1993,299900.0,2,2018-01-26,1,2018,32,0,4,1,0,0,0,0,0,6708.0,2334.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.5,4,2,32,128.49185946872322
austin,3015 Foxton Cv,78748,30.178407669067383,-97.84192657470705,1.98,2,False,True,True,True,False,False,Single Family,2,1993,299000.0,2,2020-02-25,2,2020,26,0,4,2,2,1,0,1,0,6272.0,1494.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,32,200.1338688085676
austin,2929 Fleet Dr,78748,30.166940689086925,-97.84148406982422,1.98,0,True,True,False,True,False,False,Single Family,0,2005,399900.0,4,2018-10-19,10,2018,1,0,4,1,0,0,0,0,0,7405.0,2531.0,1,0,1,1,1.8333333333333333,5.0,1450,15,3.0,4,2,20,158.0007902015014
austin,3012 Jubilee Trl,78748,30.177940368652344,-97.84174346923828,1.98,2,False,True,True,True,False,True,Single Family,2,1983,335000.0,3,2020-05-22,5,2020,16,0,3,2,0,0,0,0,0,6577.0,1456.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,42,230.08241758241758
austin,3006 Jubilee Trl,78748,30.177738189697266,-97.84131622314452,1.98,2,False,True,True,True,True,False,Single Family,2,1983,325000.0,4,2020-12-08,12,2020,27,0,4,2,1,1,0,0,0,6795.0,1139.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,42,285.33801580333625
austin,3005 Lynnbrook Dr,78748,30.166900634765625,-97.8428726196289,1.98,2,True,True,True,True,False,False,Single Family,2,2006,349900.0,2,2019-05-15,5,2019,33,0,5,2,0,1,0,0,0,7840.0,2185.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,19,160.13729977116705
austin,3004 Jubilee Trl,78748,30.177703857421875,-97.84120178222656,1.98,0,False,True,False,True,False,False,Single Family,0,1983,260000.0,3,2018-01-29,1,2018,27,0,2,0,0,0,0,0,0,7361.0,1250.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,42,208.0
austin,3017 Lynnbrook Dr,78748,30.16720771789551,-97.84333038330078,1.98,0,True,True,False,True,False,False,Single Family,0,2006,400000.0,2,2019-11-26,11,2019,1,0,4,1,0,0,0,0,0,10018.0,2334.0,1,0,1,1,1.8333333333333333,5.0,1450,15,2.0,4,1,19,171.3796058269066
austin,1626 Rockland Dr,78748,30.16631317138672,-97.82669067382812,1.98,0,True,True,False,True,False,False,Single Family,0,2009,289900.0,1,2019-12-16,12,2019,1,0,4,1,2,0,0,0,0,9583.0,1714.0,1,0,1,1,1.9,5.0,1450,15,3.0,3,2,16,169.1365227537923
austin,1408 Huckleberry Ln #83,78748,30.175352096557614,-97.81727600097656,1.98,2,True,True,True,True,False,False,Single Family,2,2012,309000.0,1,2020-08-31,8,2020,33,0,4,2,2,3,0,1,0,7666.0,1458.0,1,0,1,1,0.9,3.333333333333333,1424,14,2.0,3,1,13,211.93415637860082
austin,1600 Yoakum St #257,78748,30.165157318115234,-97.82523345947266,1.98,2,True,True,True,True,False,False,Single Family,2,2007,245000.0,2,2018-12-07,12,2018,28,0,3,2,0,0,0,0,0,9757.0,1474.0,1,0,1,1,1.9,5.0,1450,15,3.0,3,2,18,166.21438263229308
austin,10901 Strand St,78748,30.16747093200684,-97.84344482421876,1.98,5,True,True,True,True,False,False,Single Family,5,2006,253500.0,4,2019-05-21,5,2019,32,0,7,4,0,1,0,1,0,9888.0,2388.0,1,0,1,1,1.8333333333333333,5.0,1450,15,2.0,4,1,19,106.15577889447236
austin,10040 Alley May Dr,78748,30.169025421142567,-97.81847381591795,1.98,2,True,True,True,True,False,False,Single Family,2,2014,350000.0,1,2020-11-23,11,2020,27,0,3,2,2,2,0,0,0,4617.0,1865.0,1,0,1,1,0.9,3.333333333333333,1424,14,3.0,3,1,11,187.66756032171583
austin,9615 Holly Springs Dr,78748,30.180753707885746,-97.8337860107422,1.98,4,False,True,True,True,False,False,Single Family,4,1984,260000.0,1,2020-12-04,12,2020,22,0,3,2,1,1,0,0,0,5662.0,1024.0,1,0,1,1,1.8666666666666665,5.0,1450,15,1.0,2,1,41,253.90625
austin,2515 Monarch Dr,78748,30.17957878112793,-97.83023834228516,1.98,0,True,True,False,True,False,False,Single Family,0,1983,375000.0,3,2019-06-03,6,2019,1,0,4,1,0,1,0,1,0,6098.0,1768.0,1,0,1,1,1.9,5.0,1450,15,2.0,4,1,42,212.10407239819006
austin,11412 Blairview Ln,78748,30.156347274780284,-97.84197235107422,1.98,3,True,True,True,True,False,False,Single Family,3,2002,319999.0,1,2019-11-06,11,2019,19,0,2,3,1,0,0,0,0,6664.0,3482.0,1,0,1,1,1.9,4.666666666666667,1496,15,3.0,4,2,23,91.90091901206203
austin,9909 Wading Pool Path,78748,30.17160224914551,-97.81887817382812,1.98,2,True,True,True,True,False,False,Single Family,2,2013,262090.0,9,2019-10-18,10,2019,1,0,4,2,2,1,0,0,0,4356.0,2072.0,1,0,1,1,0.9,3.333333333333333,1424,14,3.0,3,2,12,126.49131274131274
austin,3016 Lynnbrook Dr,78748,30.167484283447266,-97.84273529052734,1.98,0,True,True,False,True,False,False,Single Family,0,2006,314900.0,2,2018-09-14,9,2018,14,0,4,1,0,0,0,0,0,7797.0,2046.0,1,0,1,1,1.8666666666666665,5.0,1450,15,2.0,3,1,19,153.91006842619745
austin,2216 Marcus Abrams Blvd,78748,30.153654098510746,-97.8392105102539,1.98,0,True,True,False,True,False,False,Single Family,0,2003,254000.0,2,2018-05-21,5,2018,25,0,4,1,0,0,0,0,0,5924.0,1487.0,1,0,1,1,1.8,5.666666666666668,1595,17,2.0,3,1,22,170.81371889710826
austin,10732 N Platt River Dr,78748,30.15536880493164,-97.81695556640624,1.98,2,False,True,True,True,False,False,Single Family,2,1986,245000.0,3,2020-06-04,6,2020,48,0,1,2,1,1,0,0,0,6577.0,1483.0,1,0,1,1,1.1,3.333333333333333,1424,14,3.0,3,2,39,165.20566419420095
